Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
1992,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1a Actividad principal producción de electricidad y calor,,"67,281.65",60.243,136.644,,,,,,,,,,,,,,,,,,11.085
1992,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1b Refinación del petróleo,,"9,276.25",8.623,15.373,,,,,,,,,,,,,,,,,,1.641
1992,1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,1A1c Manufactura de combustibles sólidos y otras industrias de la energía,,"29,019.33",20.788,31.698,,,,,,,,,,,,,,,,,,0.35
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2a Hierro y acero,,"3,944.45",2.589,3.631,,,,,,,,,,,,,,,,,,0.069
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2b Metales no ferrosos,,"2,052.80",1.427,2.089,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2c Sustancias químicas,,"17,061.25",10.771,14.544,,,,,,,,,,,,,,,,,,0.203
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2d Pulpa, papel e imprenta",,"2,625.41",2.153,3.554,,,,,,,,,,,,,,,,,,0.07
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,"1A2e Procesamiento de alimentos, bebidas y tabaco",,"4,452.51",4.474,8.265,,,,,,,,,,,,,,,,,,0.204
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2f Minerales no metálicos,,0,0,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2g Equipo de transporte,,169.67,0.094,0.114,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2h Maquinaria,,0,0,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2i Minería (con excepción de combustibles) y cantería,,"7,254.89",7.229,13.33,,,,,,,,,,,,,,,,,,0.216
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2j Madera y productos de la madera,,0,0,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2k Construcción,,376.42,0.434,0.822,,,,,,,,,,,,,,,,,,0.002
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2l Textiles y cueros,,0,0,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,1A2m Industria no especificada,,"12,525.55",75.566,97.969,,,,,,,,,,,,,,,,,,22.349
1992,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3a Aviación civil,,"4,084.85",0.788,29.816,,,,,,,,,,,,,,,,,,0.058
1992,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3b Autotransporte,,"91,445.58",703.754,"2,261.59",,,,,,,,,,,,,,,,,,17.163
1992,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3c Ferrocarriles,,"1,638.34",2.613,170.444,,,,,,,,,,,,,,,,,,0.082
1992,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3d Navegación marítima y fluvial,,"1,246.29",3.31,8.951,,,,,,,,,,,,,,,,,,0.039
1992,1 Energía,1A Actividades de quema del combustible,1A3 Transporte,1A3e Otro transporte,,0,0,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4a Comercial/institucional,,"5,564.15",15.715,6.592,,,,,,,,,,,,,,,,,,2.232
1992,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4b Residencial,,"20,013.07","2,472.88",315.681,,,,,,,,,,,,,,,,,,32.991
1992,1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,1A4c Agropecuario/silvicultura/pesca/piscifactorías,,"5,145.07",19.674,11.117,,,,,,,,,,,,,,,,,,0.075
1992,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1ai Minas subterráneas,0,"2,567.46",0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1a Minería carbonífera y manejo del carbón,1B1aii Minas superficie,0,49.361,0,,,,,,,,,,,,,,,,,,0
1992,1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,1B1b Combustión espontánea y vertederos para quema de carbón,,0,0,0,,,,,,,,,,,,,,,,,,0
